card_id,card_name,set_id,card_number,binder_name,page_number,slot_number,set_name,card_market_value,index
base4-50,Magikarp,base4,50,2,6,5,Base Set 2,0.9,2-6-5
base4-51,Magmar,base4,51,2,6,6,Base Set 2,1.08,2-6-6
base4-52,Marowak,base4,52,2,6,7,Base Set 2,1.87,2-6-7
base4-53,Nidorina,base4,53,2,6,8,Base Set 2,0.62,2-6-8
base4-54,Nidorino,base4,54,2,6,9,Base Set 2,1.55,2-6-9
base4-55,Parasect,base4,55,2,7,1,Base Set 2,0.9,2-7-1
base4-56,Persian,base4,56,2,7,2,Base Set 2,1.7,2-7-2
base4-57,Poliwhirl,base4,57,2,7,3,Base Set 2,0.92,2-7-3
base4-58,Raticate,base4,58,2,7,4,Base Set 2,0.9,2-7-4
base4-59,Rhydon,base4,59,2,7,5,Base Set 2,1.8,2-7-5
base4-60,Seaking,base4,60,2,7,6,Base Set 2,0.59,2-7-6
base4-61,Seel,base4,61,2,7,7,Base Set 2,0.62,2-7-7
base4-62,Tauros,base4,62,2,7,8,Base Set 2,2.96,2-7-8
base4-63,Wartortle,base4,63,2,7,9,Base Set 2,1.74,2-7-9
base4-64,Weepinbell,base4,64,2,8,1,Base Set 2,1.23,2-8-1
base4-65,Abra,base4,65,2,8,2,Base Set 2,0.42,2-8-2
base4-66,Bellsprout,base4,66,2,8,3,Base Set 2,0.44,2-8-3
base4-67,Bulbasaur,base4,67,2,8,4,Base Set 2,2.24,2-8-4
base4-68,Caterpie,base4,68,2,8,5,Base Set 2,0.43,2-8-5
base4-69,Charmander,base4,69,2,8,6,Base Set 2,1.2,2-8-6
base4-70,Cubone,base4,70,2,8,7,Base Set 2,0.81,2-8-7
base4-71,Diglett,base4,71,2,8,8,Base Set 2,0.38,2-8-8
base4-72,Doduo,base4,72,2,8,9,Base Set 2,0.44,2-8-9
base4-73,Drowzee,base4,73,2,9,1,Base Set 2,0.44,2-9-1
base4-74,Exeggcute,base4,74,2,9,2,Base Set 2,0.5,2-9-2
base4-75,Gastly,base4,75,2,9,3,Base Set 2,0.47,2-9-3
base4-76,Goldeen,base4,76,2,9,4,Base Set 2,0.38,2-9-4
base4-77,Jigglypuff,base4,77,2,9,5,Base Set 2,0.73,2-9-5
base4-78,Machop,base4,78,2,9,6,Base Set 2,0.42,2-9-6
base4-79,Magnemite,base4,79,2,9,7,Base Set 2,0.39,2-9-7
base4-80,Meowth,base4,80,2,9,8,Base Set 2,0.55,2-9-8
base4-81,Metapod,base4,81,2,9,9,Base Set 2,0.43,2-9-9
base4-82,Nidoran ♀,base4,82,2,10,1,Base Set 2,0.47,2-10-1
base4-83,Nidoran ♂,base4,83,2,10,2,Base Set 2,0.59,2-10-2
base4-84,Onix,base4,84,2,10,3,Base Set 2,0.83,2-10-3
base4-85,Paras,base4,85,2,10,4,Base Set 2,0.38,2-10-4
base4-86,Pidgey,base4,86,2,10,5,Base Set 2,0.54,2-10-5
base4-87,Pikachu,base4,87,2,10,6,Base Set 2,2.15,2-10-6
base4-88,Poliwag,base4,88,2,10,7,Base Set 2,0.4,2-10-7
base4-89,Rattata,base4,89,2,10,8,Base Set 2,0.45,2-10-8
base4-90,Rhyhorn,base4,90,2,10,9,Base Set 2,0.46,2-10-9
base4-91,Sandshrew,base4,91,2,11,1,Base Set 2,0.35,2-11-1
base4-92,Spearow,base4,92,2,11,2,Base Set 2,0.5,2-11-2
base4-93,Squirtle,base4,93,2,11,3,Base Set 2,1.06,2-11-3
base4-94,Starmie,base4,94,2,11,4,Base Set 2,0.5,2-11-4
base4-95,Staryu,base4,95,2,11,5,Base Set 2,0.29,2-11-5
base4-96,Tangela,base4,96,2,11,6,Base Set 2,0.35,2-11-6
base4-97,Venonat,base4,97,2,11,7,Base Set 2,0.6,2-11-7
base4-98,Voltorb,base4,98,2,11,8,Base Set 2,0.53,2-11-8
base4-99,Vulpix,base4,99,2,11,9,Base Set 2,0.83,2-11-9
base4-100,Weedle,base4,100,2,12,1,Base Set 2,0.32,2-12-1
base4-101,Computer Search,base4,101,2,12,2,Base Set 2,2.71,2-12-2
base4-102,Imposter Professor Oak,base4,102,2,12,3,Base Set 2,2.23,2-12-3
base4-103,Item Finder,base4,103,2,12,4,Base Set 2,7.47,2-12-4
base4-104,Lass,base4,104,2,12,5,Base Set 2,2.69,2-12-5
base4-105,Pokémon Breeder,base4,105,2,12,6,Base Set 2,4.39,2-12-6
base4-106,Pokémon Trader,base4,106,2,12,7,Base Set 2,3.23,2-12-7
base4-107,Scoop Up,base4,107,2,12,8,Base Set 2,4.3,2-12-8
base4-108,Super Energy Removal,base4,108,2,12,9,Base Set 2,2.51,2-12-9
base4-109,Defender,base4,109,2,13,1,Base Set 2,0.33,2-13-1
base4-110,Energy Retrieval,base4,110,2,13,2,Base Set 2,0.32,2-13-2
base4-111,Full Heal,base4,111,2,13,3,Base Set 2,0.37,2-13-3
base4-112,Maintenance,base4,112,2,13,4,Base Set 2,0.77,2-13-4
base4-113,PlusPower,base4,113,2,13,5,Base Set 2,0.4,2-13-5
base4-114,Pokémon Center,base4,114,2,13,6,Base Set 2,0.79,2-13-6
base4-115,Pokédex,base4,115,2,13,7,Base Set 2,0.46,2-13-7
base4-116,Professor Oak,base4,116,2,13,8,Base Set 2,1.29,2-13-8
base4-117,Super Potion,base4,117,2,13,9,Base Set 2,0.32,2-13-9
base4-118,Bill,base4,118,2,14,1,Base Set 2,0.34,2-14-1
base4-119,Energy Removal,base4,119,2,14,2,Base Set 2,0.3,2-14-2
base4-120,Gust of Wind,base4,120,2,14,3,Base Set 2,0.35,2-14-3
base4-121,Poké Ball,base4,121,2,14,4,Base Set 2,0.31,2-14-4
base4-122,Potion,base4,122,2,14,5,Base Set 2,0.24,2-14-5
base4-123,Switch,base4,123,2,14,6,Base Set 2,0.32,2-14-6
base4-124,Double Colorless Energy,base4,124,2,14,7,Base Set 2,2.28,2-14-7
base4-125,Fighting Energy,base4,125,2,14,8,Base Set 2,0.29,2-14-8
base4-126,Fire Energy,base4,126,2,14,9,Base Set 2,0.72,2-14-9
base4-127,Grass Energy,base4,127,2,15,1,Base Set 2,0.28,2-15-1
base4-128,Lightning Energy,base4,128,2,15,2,Base Set 2,0.38,2-15-2
base4-129,Psychic Energy,base4,129,2,15,3,Base Set 2,0.3,2-15-3
base4-130,Water Energy,base4,130,2,15,4,Base Set 2,0.26,2-15-4
base4-4,Charizard,base4,4,2,15,5,Base Set 2,304.88,2-15-5
base4-2,Blastoise,base4,2,2,15,6,Base Set 2,105.92,2-15-6
base4-18,Venusaur,base4,18,2,15,7,Base Set 2,73.77,2-15-7
base4-10,Mewtwo,base4,10,2,15,8,Base Set 2,40.96,2-15-8
base4-20,Zapdos,base4,20,2,15,9,Base Set 2,24.31,2-15-9
base4-16,Raichu,base4,16,2,16,1,Base Set 2,33.18,2-16-1
base4-17,Scyther,base4,17,2,16,2,Base Set 2,24.6,2-16-2
base4-19,Wigglytuff,base4,19,2,16,3,Base Set 2,11.0,2-16-3
base4-14,Pidgeot,base4,14,2,16,4,Base Set 2,27.41,2-16-4
base4-12,Nidoqueen,base4,12,2,16,5,Base Set 2,23.02,2-16-5
base4-11,Nidoking,base4,11,2,16,6,Base Set 2,24.14,2-16-6
base4-1,Alakazam,base4,1,2,16,7,Base Set 2,37.01,2-16-7
base4-7,Gyarados,base4,7,2,16,8,Base Set 2,26.86,2-16-8
base4-3,Chansey,base4,3,2,16,9,Base Set 2,14.71,2-16-9
base4-5,Clefable,base4,5,2,17,1,Base Set 2,13.97,2-17-1
base4-87,Pikachu,base4,87,2,17,2,Base Set 2,2.15,2-17-2
base4-67,Bulbasaur,base4,67,2,17,3,Base Set 2,2.24,2-17-3
base4-69,Charmander,base4,69,2,17,4,Base Set 2,1.2,2-17-4
base4-93,Squirtle,base4,93,2,17,5,Base Set 2,1.06,2-17-5
base4-86,Pidgey,base4,86,2,17,6,Base Set 2,0.54,2-17-6
base4-89,Rattata,base4,89,2,17,7,Base Set 2,0.45,2-17-7
base4-6,Clefairy,base4,6,2,17,8,Base Set 2,10.79,2-17-8
base4-50,Magikarp,base4,50,2,17,9,Base Set 2,0.9,2-17-9
base4-65,Abra,base4,65,2,18,1,Base Set 2,0.42,2-18-1
base4-78,Machop,base4,78,2,18,2,Base Set 2,0.42,2-18-2
base4-79,Magnemite,base4,79,2,18,3,Base Set 2,0.39,2-18-3
base4-75,Gastly,base4,75,2,18,4,Base Set 2,0.47,2-18-4
base4-99,Vulpix,base4,99,2,18,5,Base Set 2,0.83,2-18-5
base4-60,Ponyta,base4,60,2,18,6,Base Set 2,0.59,2-18-6
base4-100,Weedle,base4,100,2,18,7,Base Set 2,0.32,2-18-7
base4-68,Caterpie,base4,68,2,18,8,Base Set 2,0.43,2-18-8
base4-88,Poliwag,base4,88,2,18,9,Base Set 2,0.4,2-18-9
base4-57,Poliwhirl,base4,57,2,19,1,Base Set 2,0.92,2-19-1
base4-44,Ivysaur,base4,44,2,19,2,Base Set 2,3.58,2-19-2
base4-63,Wartortle,base4,63,2,19,3,Base Set 2,1.74,2-19-3
base4-35,Charmeleon,base4,35,2,19,4,Base Set 2,1.73,2-19-4
base4-46,Kadabra,base4,46,2,19,5,Base Set 2,1.22,2-19-5
base4-49,Machoke,base4,49,2,19,6,Base Set 2,0.54,2-19-6
base4-47,Kakuna,base4,47,2,19,7,Base Set 2,0.71,2-19-7
base4-81,Metapod,base4,81,2,19,8,Base Set 2,0.43,2-19-8
base4-22,Dragonair,base4,22,2,19,9,Base Set 2,8.65,2-19-9
base4-38,Dratini,base4,38,2,20,1,Base Set 2,1.01,2-20-1
base4-42,Growlithe,base4,42,2,20,2,Base Set 2,1.21,2-20-2
base4-33,Arcanine,base4,33,2,20,3,Base Set 2,2.1,2-20-3
base4-25,Electrode,base4,25,2,20,4,Base Set 2,3.87,2-20-4
base4-24,Electabuzz,base4,24,2,20,5,Base Set 2,3.19,2-20-5
base4-124,Double Colorless Energy,base4,124,2,20,6,Base Set 2,2.28,2-20-6
base4-116,Professor Oak,base4,116,2,20,7,Base Set 2,1.29,2-20-7
base4-118,Bill,base4,118,2,20,8,Base Set 2,0.34,2-20-8
base4-119,Energy Removal,base4,119,2,20,9,Base Set 2,0.3,2-20-9
base1-1,Alakazam,base1,1,1,1,1,Base,54.5,1-1-1
base1-2,Blastoise,base1,2,1,1,2,Base,159.26,1-1-2
base1-3,Chansey,base1,3,1,1,3,Base,28.48,1-1-3
base1-4,Charizard,base1,4,1,1,4,Base,458.29,1-1-4
base1-5,Clefairy,base1,5,1,1,5,Base,26.05,1-1-5
base1-6,Gyarados,base1,6,1,1,6,Base,34.98,1-1-6
base1-7,Hitmonchan,base1,7,1,1,7,Base,18.55,1-1-7
base1-8,Machamp,base1,8,1,1,8,Base,0.0,1-1-8
base1-9,Magneton,base1,9,1,1,9,Base,20.25,1-1-9
base1-10,Mewtwo,base1,10,1,2,1,Base,38.91,1-2-1
base1-11,Nidoking,base1,11,1,2,2,Base,28.8,1-2-2
base1-12,Ninetales,base1,12,1,2,3,Base,22.9,1-2-3
base1-13,Poliwrath,base1,13,1,2,4,Base,20.59,1-2-4
base1-14,Raichu,base1,14,1,2,5,Base,43.73,1-2-5
base1-15,Venusaur,base1,15,1,2,6,Base,119.17,1-2-6
base1-16,Zapdos,base1,16,1,2,7,Base,36.61,1-2-7
base1-17,Beedrill,base1,17,1,2,8,Base,3.96,1-2-8
base1-18,Dragonair,base1,18,1,2,9,Base,13.23,1-2-9
base1-19,Dugtrio,base1,19,1,3,1,Base,6.44,1-3-1
base1-20,Electabuzz,base1,20,1,3,2,Base,7.35,1-3-2
base1-21,Electrode,base1,21,1,3,3,Base,6.84,1-3-3
base1-22,Pidgeotto,base1,22,1,3,4,Base,9.09,1-3-4
base1-23,Arcanine,base1,23,1,3,5,Base,2.96,1-3-5
base1-24,Charmeleon,base1,24,1,3,6,Base,1.81,1-3-6
base1-25,Dewgong,base1,25,1,3,7,Base,2.33,1-3-7
base1-26,Dratini,base1,26,1,3,8,Base,1.63,1-3-8
base1-27,Farfetch'd,base1,27,1,3,9,Base,0.94,1-3-9
base1-28,Growlithe,base1,28,1,4,1,Base,0.81,1-4-1
base1-29,Haunter,base1,29,1,4,2,Base,1.36,1-4-2
base1-30,Ivysaur,base1,30,1,4,3,Base,2.18,1-4-3
base1-31,Jynx,base1,31,1,4,4,Base,0.66,1-4-4
base1-32,Kadabra,base1,32,1,4,5,Base,1.29,1-4-5
base1-33,Kakuna,base1,33,1,4,6,Base,1.0,1-4-6
base1-34,Machoke,base1,34,1,4,7,Base,0.66,1-4-7
base1-35,Magikarp,base1,35,1,4,8,Base,1.95,1-4-8
base1-36,Magmar,base1,36,1,4,9,Base,2.7,1-4-9
base1-37,Nidorino,base1,37,1,5,1,Base,1.81,1-5-1
base1-38,Poliwhirl,base1,38,1,5,2,Base,1.35,1-5-2
base1-39,Porygon,base1,39,1,5,3,Base,2.14,1-5-3
base1-40,Raticate,base1,40,1,5,4,Base,2.03,1-5-4
base1-41,Seel,base1,41,1,5,5,Base,1.01,1-5-5
base1-42,Wartortle,base1,42,1,5,6,Base,2.49,1-5-6
base1-43,Abra,base1,43,1,5,7,Base,0.57,1-5-7
base1-44,Bulbasaur,base1,44,1,5,8,Base,1.84,1-5-8
base1-45,Caterpie,base1,45,1,5,9,Base,0.8,1-5-9
base1-46,Charmander,base1,46,1,6,1,Base,1.67,1-6-1
base1-47,Diglett,base1,47,1,6,2,Base,0.42,1-6-2
base1-48,Doduo,base1,48,1,6,3,Base,0.92,1-6-3
base1-49,Drowzee,base1,49,1,6,4,Base,0.41,1-6-4
base1-50,Gastly,base1,50,1,6,5,Base,0.55,1-6-5
base1-51,Koffing,base1,51,1,6,6,Base,0.42,1-6-6
base1-52,Machop,base1,52,1,6,7,Base,0.32,1-6-7
base1-53,Magnemite,base1,53,1,6,8,Base,0.51,1-6-8
base1-54,Metapod,base1,54,1,6,9,Base,0.71,1-6-9
base1-55,Nidoran ♂,base1,55,1,7,1,Base,0.66,1-7-1
base1-56,Onix,base1,56,1,7,2,Base,0.48,1-7-2
base1-57,Pidgey,base1,57,1,7,3,Base,0.68,1-7-3
base1-58,Pikachu,base1,58,1,7,4,Base,3.1,1-7-4
base1-59,Poliwag,base1,59,1,7,5,Base,0.4,1-7-5
base1-60,Ponyta,base1,60,1,7,6,Base,0.43,1-7-6
base1-61,Rattata,base1,61,1,7,7,Base,0.44,1-7-7
base1-62,Sandshrew,base1,62,1,7,8,Base,0.53,1-7-8
base1-63,Squirtle,base1,63,1,7,9,Base,2.84,1-7-9
base1-64,Starmie,base1,64,1,8,1,Base,0.45,1-8-1
base1-65,Staryu,base1,65,1,8,2,Base,0.36,1-8-2
base1-66,Tangela,base1,66,1,8,3,Base,0.47,1-8-3
base1-67,Voltorb,base1,67,1,8,4,Base,1.31,1-8-4
base1-68,Vulpix,base1,68,1,8,5,Base,0.52,1-8-5
base1-69,Weedle,base1,69,1,8,6,Base,0.38,1-8-6
base1-70,Clefairy Doll,base1,70,1,8,7,Base,5.33,1-8-7
base1-71,Computer Search,base1,71,1,8,8,Base,3.03,1-8-8
base1-72,Devolution Spray,base1,72,1,8,9,Base,4.59,1-8-9
base1-73,Impostor Professor Oak,base1,73,1,9,1,Base,5.49,1-9-1
base1-74,Item Finder,base1,74,1,9,2,Base,8.45,1-9-2
base1-75,Lass,base1,75,1,9,3,Base,2.41,1-9-3
base1-76,Pokémon Breeder,base1,76,1,9,4,Base,6.65,1-9-4
base1-77,Pokémon Trader,base1,77,1,9,5,Base,4.47,1-9-5
base1-78,Scoop Up,base1,78,1,9,6,Base,7.12,1-9-6
base1-79,Super Energy Removal,base1,79,1,9,7,Base,3.32,1-9-7
base1-80,Defender,base1,80,1,9,8,Base,1.3,1-9-8
base1-81,Energy Retrieval,base1,81,1,9,9,Base,0.61,1-9-9
base1-82,Full Heal,base1,82,1,10,1,Base,1.32,1-10-1
base1-83,Maintenance,base1,83,1,10,2,Base,2.13,1-10-2
base1-84,PlusPower,base1,84,1,10,3,Base,0.56,1-10-3
base1-85,Pokémon Center,base1,85,1,10,4,Base,1.6,1-10-4
base1-86,Pokémon Flute,base1,86,1,10,5,Base,2.41,1-10-5
base1-87,Pokédex,base1,87,1,10,6,Base,0.44,1-10-6
base1-88,Professor Oak,base1,88,1,10,7,Base,1.08,1-10-7
base1-89,Revive,base1,89,1,10,8,Base,2.2,1-10-8
base1-90,Super Potion,base1,90,1,10,9,Base,0.29,1-10-9
base1-91,Bill,base1,91,1,11,1,Base,0.32,1-11-1
base1-92,Energy Removal,base1,92,1,11,2,Base,0.35,1-11-2
base1-93,Gust of Wind,base1,93,1,11,3,Base,0.23,1-11-3
base1-94,Potion,base1,94,1,11,4,Base,0.2,1-11-4
base1-95,Switch,base1,95,1,11,5,Base,0.3,1-11-5
base1-96,Double Colorless Energy,base1,96,1,11,6,Base,5.78,1-11-6
base1-97,Fighting Energy,base1,97,1,11,7,Base,0.31,1-11-7
base1-98,Fire Energy,base1,98,1,11,8,Base,0.29,1-11-8
base1-99,Grass Energy,base1,99,1,11,9,Base,0.28,1-11-9
base1-100,Lightning Energy,base1,100,1,12,1,Base,0.31,1-12-1
base1-101,Psychic Energy,base1,101,1,12,2,Base,0.34,1-12-2
base1-102,Water Energy,base1,102,1,12,3,Base,0.32,1-12-3
base1-4,Charizard,base1,4,1,12,4,Base,458.29,1-12-4
base1-2,Blastoise,base1,2,1,12,5,Base,159.26,1-12-5
base1-15,Venusaur,base1,15,1,12,6,Base,119.17,1-12-6
base1-10,Mewtwo,base1,10,1,12,7,Base,38.91,1-12-7
base1-16,Zapdos,base1,16,1,12,8,Base,36.61,1-12-8
base1-14,Raichu,base1,14,1,12,9,Base,43.73,1-12-9
base1-1,Alakazam,base1,1,1,13,1,Base,54.5,1-13-1
base1-3,Chansey,base1,3,1,13,2,Base,28.48,1-13-2
base1-12,Ninetales,base1,12,1,13,3,Base,22.9,1-13-3
base1-8,Machamp,base1,8,1,13,4,Base,0.0,1-13-4
base1-4,Charizard,base1,4,1,13,5,Base,458.29,1-13-5
base1-10,Mewtwo,base1,10,1,13,6,Base,38.91,1-13-6
base1-58,Pikachu,base1,58,1,13,7,Base,3.1,1-13-7
base1-44,Bulbasaur,base1,44,1,13,8,Base,1.84,1-13-8
base1-46,Charmander,base1,46,1,13,9,Base,1.67,1-13-9
base1-63,Squirtle,base1,63,1,14,1,Base,2.84,1-14-1
base1-57,Pidgey,base1,57,1,14,2,Base,0.68,1-14-2
base1-61,Rattata,base1,61,1,14,3,Base,0.44,1-14-3
base1-5,Clefairy,base1,5,1,14,4,Base,26.05,1-14-4
base1-31,Jynx,base1,31,1,14,5,Base,0.66,1-14-5
base1-35,Magikarp,base1,35,1,14,6,Base,1.95,1-14-6
base1-43,Abra,base1,43,1,14,7,Base,0.57,1-14-7
base1-52,Machop,base1,52,1,14,8,Base,0.32,1-14-8
base1-53,Magnemite,base1,53,1,14,9,Base,0.51,1-14-9
base1-51,Koffing,base1,51,1,15,1,Base,0.42,1-15-1
base1-50,Gastly,base1,50,1,15,2,Base,0.55,1-15-2
base1-68,Vulpix,base1,68,1,15,3,Base,0.52,1-15-3
base1-60,Ponyta,base1,60,1,15,4,Base,0.43,1-15-4
base1-49,Drowzee,base1,49,1,15,5,Base,0.41,1-15-5
base1-47,Diglett,base1,47,1,15,6,Base,0.42,1-15-6
base1-69,Weedle,base1,69,1,15,7,Base,0.38,1-15-7
base1-45,Caterpie,base1,45,1,15,8,Base,0.8,1-15-8
base1-55,Nidoran ♂,base1,55,1,15,9,Base,0.66,1-15-9
base1-59,Poliwag,base1,59,1,16,1,Base,0.4,1-16-1
base1-38,Poliwhirl,base1,38,1,16,2,Base,1.35,1-16-2
base1-30,Ivysaur,base1,30,1,16,3,Base,2.18,1-16-3
base1-42,Wartortle,base1,42,1,16,4,Base,2.49,1-16-4
base1-24,Charmeleon,base1,24,1,16,5,Base,1.81,1-16-5
base1-32,Kadabra,base1,32,1,16,6,Base,1.29,1-16-6
base1-34,Machoke,base1,34,1,16,7,Base,0.66,1-16-7
base1-33,Kakuna,base1,33,1,16,8,Base,1.0,1-16-8
base1-54,Metapod,base1,54,1,16,9,Base,0.71,1-16-9
base1-18,Dragonair,base1,18,1,17,1,Base,13.23,1-17-1
base1-26,Dratini,base1,26,1,17,2,Base,1.63,1-17-2
base1-28,Growlithe,base1,28,1,17,3,Base,0.81,1-17-3
base1-23,Arcanine,base1,23,1,17,4,Base,2.96,1-17-4
base1-21,Electrode,base1,21,1,17,5,Base,6.84,1-17-5
base1-20,Electabuzz,base1,20,1,17,6,Base,7.35,1-17-6
base1-64,Starmie,base1,64,1,17,7,Base,0.45,1-17-7
base1-65,Staryu,base1,65,1,17,8,Base,0.36,1-17-8
base1-96,Double Colorless Energy,base1,96,1,17,9,Base,5.78,1-17-9
base1-88,Professor Oak,base1,88,1,18,1,Base,1.08,1-18-1
base1-91,Bill,base1,91,1,18,2,Base,0.32,1-18-2
base1-92,Energy Removal,base1,92,1,18,3,Base,0.35,1-18-3
base1-87,Pokédex,base1,87,1,18,4,Base,0.44,1-18-4
base1-95,Switch,base1,95,1,18,5,Base,0.3,1-18-5
base1-94,Potion,base1,94,1,18,6,Base,0.2,1-18-6
base1-90,Super Potion,base1,90,1,18,7,Base,0.29,1-18-7
base1-85,Pokémon Center,base1,85,1,18,8,Base,1.6,1-18-8
base1-81,Energy Retrieval,base1,81,1,18,9,Base,0.61,1-18-9
base1-98,Fire Energy,base1,98,1,19,1,Base,0.29,1-19-1
base1-100,Lightning Energy,base1,100,1,19,2,Base,0.31,1-19-2
base1-102,Water Energy,base1,102,1,19,3,Base,0.32,1-19-3
base1-99,Grass Energy,base1,99,1,19,4,Base,0.28,1-19-4
base1-101,Psychic Energy,base1,101,1,19,5,Base,0.34,1-19-5
base1-97,Fighting Energy,base1,97,1,19,6,Base,0.31,1-19-6
base1-96,Double Colorless Energy,base1,96,1,19,7,Base,5.78,1-19-7
base1-4,Charizard,base1,4,1,19,8,Base,458.29,1-19-8
base1-2,Blastoise,base1,2,1,19,9,Base,159.26,1-19-9
base1-15,Venusaur,base1,15,1,20,1,Base,119.17,1-20-1
base1-10,Mewtwo,base1,10,1,20,2,Base,38.91,1-20-2
base1-16,Zapdos,base1,16,1,20,3,Base,36.61,1-20-3
base1-6,Gyarados,base1,6,1,20,4,Base,34.98,1-20-4
base1-13,Poliwrath,base1,13,1,20,5,Base,20.59,1-20-5
base1-11,Nidoking,base1,11,1,20,6,Base,28.8,1-20-6
base1-7,Hitmonchan,base1,7,1,20,7,Base,18.55,1-20-7
base1-9,Magneton,base1,9,1,20,8,Base,20.25,1-20-8
base1-3,Chansey,base1,3,1,20,9,Base,28.48,1-20-9
